"","userID","age","sex","edu","major","work","IAT","self","HPC","perf","impr"
"956","U958",31,"M","High",FALSE,TRUE,30,5,10,50,6
"957","U959",26,"M","Univ",FALSE,TRUE,29,4,11,50,1
"958","U960",29,"F","Univ",FALSE,TRUE,31,2,9,54,-10
"959","U961",24,"M","High",FALSE,TRUE,32,3,10,48,2
"960","U962",30,"M","Univ",FALSE,TRUE,25,1,11,51,-3
"961","U963",38,"M","Univ",FALSE,TRUE,32,5,5,57,-5
"962","U964",35,"M","High",FALSE,TRUE,32,4,20,59,-11
"963","U965",24,"M","UnivO",TRUE,TRUE,29,2,12,52,-1
"964","U966",27,"F","Univ",FALSE,FALSE,33,3,12,53,-3
"965","U967",31,"M","UnivO",FALSE,TRUE,15,1,18,60,-9
"966","U968",25,"F","UnivO",FALSE,TRUE,35,5,13,61,-10
"967","U969",28,"F","High",FALSE,TRUE,31,4,8,52,0
"968","U970",25,"M","UnivO",FALSE,TRUE,34,2,8,57,-6
"969","U971",23,"F","Univ",FALSE,FALSE,26,3,9,45,7
"970","U972",32,"M","Univ",FALSE,TRUE,23,1,11,48,7
"971","U973",27,"M","Univ",TRUE,FALSE,17,5,13,46,7
"972","U974",33,"M","Univ",FALSE,TRUE,27,4,13,55,-3
"973","U975",25,"M","Univ",FALSE,TRUE,31,2,18,52,2
"974","U976",31,"M","Univ",FALSE,TRUE,36,3,9,61,-10
"975","U977",33,"F","UnivO",FALSE,FALSE,28,1,18,49,7
"976","U978",24,"F","High",FALSE,TRUE,22,5,6,55,-2
"977","U979",23,"M","Grad",FALSE,FALSE,28,4,8,43,15
"978","U980",29,"F","UnivO",TRUE,TRUE,32,2,6,59,-7
"979","U981",35,"F","High",FALSE,TRUE,20,3,13,49,3
"980","U982",23,"F","UnivO",FALSE,FALSE,26,1,13,46,4
"981","U983",26,"F","High",FALSE,TRUE,28,5,11,47,7
"982","U984",31,"M","High",FALSE,TRUE,30,4,9,49,1
"983","U985",22,"M","Univ",FALSE,TRUE,31,2,11,47,4
"984","U986",26,"F","Univ",FALSE,FALSE,45,3,8,51,4
"985","U987",24,"F","High",FALSE,TRUE,33,1,14,47,0
"986","U988",22,"M","GradO",TRUE,FALSE,35,5,11,58,-8
"987","U989",24,"M","HighO",FALSE,TRUE,31,4,9,51,1
"988","U990",24,"M","GradO",FALSE,TRUE,29,2,13,51,4
"989","U991",28,"M","High",FALSE,TRUE,22,3,16,56,-4
"990","U992",29,"F","Univ",FALSE,TRUE,21,1,9,59,-8
"991","U993",23,"M","Grad",FALSE,TRUE,35,5,9,53,4
"992","U994",26,"F","Univ",FALSE,TRUE,29,4,14,58,1
"993","U995",31,"F","High",FALSE,FALSE,36,2,9,49,2
"994","U996",26,"F","Univ",FALSE,FALSE,24,3,17,43,5
"995","U997",32,"M","Univ",FALSE,TRUE,30,1,5,48,5
